Book_Title,Book_Author,Year_Of_Publication,Publisher,Book_Rating,label
Fatal Cure,Robin Cook,1997,Berkley Publishing Group,0,1
Chosen Prey,John Sandford,2004,Berkley Publishing Group,0,1
Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson,0,2
From the Corner of His Eye,Dean Koontz,2001,Bantam Books,0,2
The Cove,Catherine Coulter,1996,Jove Books,8,2
The House of the Spirits,Isabel Allende,1986,Bantam Books,0,2
Jitterbug Perfume,TOM ROBBINS,1990,Bantam,10,2
Mutation,Robin Cook,1991,Berkley Publishing Group,7,1
Midnight's Children,Salman Rushdie,1995,Penguin Books,0,2
My Dream of You,Nuala O'Faolain,2002,Riverhead Books,7,2
From a Buick 8,Stephen King,2003,Pocket Books,8,3
Julie and Romeo: A Novel,Jeanne Ray,2001,Onyx Books,8,2
The Undertaker's Widow,Phillip Margolin,1999,Bantam Books,0,2
Disclosure,Michael Crichton,1994,Alfred A. Knopf,8,2
The Fallen Man (Joe Leaphorn Novels),Tony Hillerman,1997,HarperTorch,0,2
All Around the Town,Mary Higgins Clark,1993,Pocket Star,0,0
Reap the Wind,Iris Johansen,2002,Bantam Books,0,2
Unspeakable,Sandra Brown,1999,Warner Books,0,2
The Edge,Catherine Coulter,2000,Jove Books,0,2
Heaven and Earth (Three Sisters Island Trilogy),Nora Roberts,2003,Jove Books,0,5
Long After Midnight,IRIS JOHANSEN,1997,Bantam,0,2
Safe Harbor,Luanne Rice,2003,Bantam Books,0,2
"Whirlwind (Tyler, Book 1)",Nancy Martin,1992,Harlequin,0,2
I'll Take Manhattan,Judith Krantz,1987,Bantam Books,0,2
Sea Swept (Quinn Brothers (Paperback)),Nora Roberts,2001,Jove Books,0,5
The Playboy,Carly Phillips,2003,Warner Forever,0,2
Key of Light (Key Trilogy (Paperback)),Nora Roberts,2003,Jove Books,0,5
Born in Shame,Nora Roberts,1996,Jove Books,0,5
Drums of Autumn,DIANA GABALDON,1997,Dell,0,2
Irish Hearts,Nora Roberts,2000,Silhouette,0,5
Nerd in Shining Armor,Vicki Lewis Thompson,2003,Dell Publishing Company,0,2
Jewels of the Sun (Irish Trilogy),Nora Roberts,2004,Jove Books,0,5
River's End,Nora Roberts,2003,Jove Books,0,5
Tears of the Moon (Irish Trilogy),Nora Roberts,2000,Jove Books,0,5
Follow the Stars Home,Luanne Rice,2001,Bantam Books,0,2
Night Whispers,Judith McNaught,1999,Pocket,0,0
Final Target,Iris Johansen,2002,Bantam Books,0,2
Table For Two,Nora Roberts,2002,Silhouette,0,5
Bitter Sweet,LaVyrle Spencer,1995,Jove Books,0,2
Heart of the Sea (Irish Trilogy),Nora Roberts,2000,Jove Books,0,5
Cry Wolf,TAMI HOAG,1993,Bantam,0,2
The Ugly Duckling,Iris Johansen,1997,Bantam Books,0,2
Out of the Shadows (Shadows Trilogy (Paperback)),Kay Hooper,2000,Bantam Books,0,2
Touching Evil,Kay Hooper,2001,Bantam Books,0,2
She Went All the Way (Avon Light Contemporary Romances),Meggin Cabot,2002,Avon,0,2
Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1982,Bantam Classics,0,2
Time And Again,Nora Roberts,2001,Silhouette,0,5
"Forever... : A Novel of Good and Evil, Love and Hope",Jude Deveraux,2002,Pocket,0,0
A Civil Action,JONATHAN HARR,1996,Vintage,0,2
He Sees You When You're Sleeping : A Novel,Carol Higgins Clark,2002,Pocket,5,0
The Maze,Catherine Coulter,1998,Jove Books,0,2
Carnal Innocence,Nora Roberts,1992,Bantam Books,0,5
Pandora : New Tales of the Vampires,ANNE RICE,1998,Knopf,0,2
Anne of Avonlea (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1984,Bantam Classics,0,2
The Gift,DANIELLE STEEL,1996,Dell,0,6
Dating Without Novocaine (Red Dress Ink),Lisa Cach,2002,Red Dress Ink,0,2
Macgregor Brides (Macgregors),Nora Roberts,1997,Silhouette,0,5
Malice,DANIELLE STEEL,1997,Dell,0,6
Open Season,Linda Howard,2002,Pocket,10,0
Heartbreaker,Julie Garwood,2001,Pocket,0,0
Fast Women,Jennifer Crusie,2002,St. Martin's Press,0,2
Plain Jane,Fern Michaels,2002,Zebra Books,0,2
The Target,Catherine Coulter,1999,Jove Books,0,2
Voyager,DIANA GABALDON,1994,Dell,0,2
Faking It,Jennifer Crusie,2002,St. Martin's Press,0,2
Anne of the Island,Lucy Maud Montgomery,1983,Bantam Classics,0,2
Summer Pleasures,Nora Roberts,2002,Silhouette,0,5
Now You See Her,Linda Howard,1999,Pocket Books,7,0
Bloody Bones (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,2001,ACE Charter,0,2
Riptide,Catherine Coulter,2001,Jove Books,5,2
False Pretenses,Catherine Coulter,2004,Signet Book,0,3
Macgregor Grooms (Macgregors),Nora Roberts,1998,Silhouette,0,5
Where You Belong,Barbara Taylor Bradford,2000,Dell Publishing Company,0,2
Born in Ice,Nora Roberts,1996,Berkley Publishing Group,0,1
The Perfect Summer,Luanne Rice,2003,Bantam Books,0,2
Daring to Dream,Nora Roberts,1996,Jove Books,0,5
Distant Shores,Kristin Hannah,2003,Ballantine Books,0,4
"A Wizard of Earthsea (Earthsea Trilogy, Book 1)",URSULA K. LE GUIN,1984,Bantam,0,2
"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,HarperCollins,7,2
Sabine's Notebook: In Which the Extraordinary Correspondence of Griffin &amp; Sabine Continues,Nick Bantock,1992,Chronicle Books,9,2
White Oleander : A Novel (Oprah's Book Club),Janet Fitch,2000,Back Bay Books,0,2
Oryx and Crake,Margaret Atwood,2003,Nan A. Talese,0,2
Griffin &amp; Sabine: An Extraordinary Correspondence,Nick Bantock,1991,Chronicle Books,0,2
The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003,Anchor,0,2
Angels &amp; Demons,Dan Brown,2001,Pocket Star,0,0
The House on Mango Street (Vintage Contemporaries),SANDRA CISNEROS,1991,Vintage,0,2
The Handmaid's Tale,Margaret Atwood,1989,Fawcett Books,0,2
Alias Grace,Margaret Atwood,1996,Nan A. Talese,0,2
The Lovely Bones,Alice Sebold,2004,Back Bay Books,0,2
Sula,Toni Morrison,2002,Plume Books,0,2
Mutant Message Down Under,Marlo Morgan,1995,Perennial,0,2
The God of Small Things,Arundhati Roy,1998,Perennial,10,2
Interpreter of Maladies,Jhumpa Lahiri,1999,Houghton Mifflin Co,0,2
The Bonesetter's Daughter,Amy Tan,2001,Putnam Publishing Group,0,1
Foucault's Pendulum,Umberto Eco,1990,Ballantine Books,0,4
The Mists of Avalon,MARION ZIMMER BRADLEY,1987,Del Rey,8,2
Xenocide (Ender Wiggins Saga (Paperback)),Orson Scott Card,1992,Tor Books,0,2
Speaker for the Dead (Ender Wiggins Saga (Paperback)),Orson Scott Card,1994,Tor Books,8,2
The Martian Chronicles,RAY BRADBURY,1984,Spectra,0,2
stardust,Neil Gaiman,2001,Perennial,0,2
Confessions of a Shopaholic,SOPHIE KINSELLA,2003,Dell,0,2
Eva Luna,Isabel Allende,1989,Bantam Books,0,2
"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN,2001,Del Rey,0,2
The Forest House,Marion Zimmer Bradley,1995,Roc,0,2
A Spell for Chameleon (Xanth Novels (Paperback)),Piers Anthony,1987,Del Rey Books,0,2
Memoirs of a Geisha Uk,Arthur Golden,0,Trafalgar Square,0,2
Survivor : A Novel,CHUCK PALAHNIUK,2000,Anchor,0,2
The Flanders Panel,ARTURO PEREZ-REVERTE,1996,Bantam,0,2
The Sparrow,MARY DORIA RUSSELL,1997,Fawcett Books,8,2
Succulent Wild Woman,Sark,1997,Fireside,0,2
Mrs Dalloway,Virginia Woolf,1990,Harvest Books,0,2
Running with Scissors: A Memoir,Augusten Burroughs,2003,Picador USA,0,2
The Tenth Insight : Holding the Vision,James Redfield,1996,Warner Books,0,2
The Artist's Way : A Spiritual Path to Higher Creativity,Julia Cameron,1992,Jeremy P. Tarcher,0,2
Einstein's Dreams,Alan Lightman,1994,Warner Books,0,2
I Capture the Castle,Dodie Smith,1999,St. Martin's Griffin,0,2
Cheet (Plume Books),Anna Davis,2003,Plume Books,0,2
Don't Let's Go to the Dogs Tonight : An African Childhood,ALEXANDRA FULLER,2003,Random House Trade Paperbacks,8,2
Mortal Prey,John Sandford,2002,Putnam Publishing Group,9,1
Daddy's Little Girl,Mary Higgins Clark,2002,Simon &amp; Schuster,9,0
Full Tilt (Janet Evanovich's Full Series),Janet Evanovich,2003,St. Martin's Paperbacks,9,2
Trading Places,Fern Michaels,2003,Pocket Star,9,0
The Last Juror,John Grisham,2004,Doubleday,10,2
Split Second,David Baldacci,2003,Warner Books,8,2
The Second Time Around : A Novel,Mary Higgins Clark,2003,Simon &amp; Schuster,9,0
Key of Knowledge (Key Trilogy (Paperback)),Nora Roberts,2003,Jove Books,10,5
"Key of Valor (Roberts, Nora. Key Trilogy, 3.)",Nora Roberts,2003,Jove Pubns,10,5
The Guardian,Nicholas Sparks,2003,Warner Books,9,2
Isle of Dogs,Patricia Daniels Cornwell,2001,Putnam Publishing Group,9,1
Blow Fly: A Scarpetta Novel,Patricia Cornwell,2003,Putnam Publishing Group,10,1
Last Man Standing,David Baldacci,2001,Warner Books,8,2
The Penwyth Curse,Catherine Coulter,2004,Jove Books,9,2
16 Lighthouse Road,Debbie Macomber,2001,Mira,8,2
204 Rosewood Lane,Debbie Macomber,2002,Mira,8,2
Face the Fire (Three Sisters Island Trilogy),Nora Roberts,2002,Jove Books,9,5
Reunion in Death,J. D. Robb,2002,Berkley Publishing Group,8,1
True Blue,Luanne Rice,2002,Bantam Books,8,2
Doing Good,Pamela Morsi,2002,Mira Books,9,2
Imitation in Death (Eve Dallas Mysteries (Paperback)),J. D. Robb,2004,Berkley Publishing Group,10,1
The Big Bad Wolf: A Novel,James Patterson,2003,"Little, Brown",9,2
Four Blind Mice,James Patterson,2002,"Little, Brown",9,2
American Gods: A Novel,Neil Gaiman,2001,William Morrow,9,2
The Face,DEAN KOONTZ,2003,Bantam,10,2
About Face,Fern Michaels,2003,Zebra Books,5,2
The Lake House,James Patterson,2003,"Little, Brown",10,2
The Frog King: A Love Story,Adam Davies,2002,Riverhead Books,8,2
From a Buick 8 : A Novel,Stephen King,2002,Scribner,9,3
Why Girls Are Weird : A Novel,Pamela Ribon,2003,Downtown Press,5,2
Black House,Stephen King,2001,Random House Trade,10,3
Engaging Men (Red Dress Ink (Paperback)),Lynda Curnyn,2003,Red Dress Ink,9,2
Beach House,Mary Alice Monroe,2002,Mira,9,2
Prey: A Novel,Michael Crichton,2002,HarperCollins,8,2
Haunted,Heather Graham,2003,Mira,10,2
All He Ever Wanted,Anita Shreve,2003,"Little, Brown",8,2
Stone Kiss (Peter Decker &amp; Rina Lazarus Novels (Hardcover)),Faye Kellerman,2002,Warner Books,8,2
Girls Night,Stef Ann Holm,2002,Mira,8,2
Odd Thomas,Dean Koontz,2003,Bantam,10,2
"Eragon (Inheritance, Book 1)",Christopher Paolini,2004,Knopf,10,2
One Door Away from Heaven,Dean R. Koontz,2001,Bantam Books,9,2
The Queen's Fool : A Novel,Philippa Gregory,2004,Touchstone,9,2
Pendragon,Catherine Coulter,2002,Jove Books,8,2
Three Fates,Nora Roberts,2002,Putnam Publishing Group,9,5
Chesapeake Blue (Quinn Brothers (Hardcover)),Nora Roberts,2002,Putnam Publishing Group,9,5
Can You Keep a Secret?,Sophie Kinsella,2004,Dial Books,10,2
Blue Diary,Alice Hoffman,2001,G. P. Putnam's Sons,9,2
Red Rabbit,Tom Clancy,2002,Putnam Publishing Group,8,1
The Christmas Train,David Baldacci,2002,Warner Books,8,2
Dark Water (Mira Romantic Suspense),Sharon Sala,2002,Mira,9,2
Club Dead (Southern Vampire Mysteries),Charlaine Harris,2003,Ace Books,10,2
Firefly Beach,Luanne Rice,2001,Bantam Books,9,2
Naked Prey,John Sandford,2003,Putnam Publishing Group,10,1
Red Dragon,Thomas Harris,2000,Dell Publishing Company,9,2
An Instance of the Fingerpost,Iain Pears,1999,Berkley Publishing Group,8,1
Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1994,Tor Books,0,2
Postmortem (Kay Scarpetta Mysteries (Paperback)),Patricia Cornwell,1998,Pocket,8,0
The Death of Vishnu: A Novel,Manil Suri,2002,Perennial,9,2
Bridget Jones: The Edge of Reason,Helen Fielding,2001,Penguin Books,0,2
Neuromancer (Remembering Tomorrow),William Gibson,1995,Ace Books,9,2
Hitchhikers's Guide to the Galaxy,Douglas Adams,1984,Pocket,10,0
Awakening,Kate Chopin,1982,Avon,0,2
Charming Billy,Alice McDermott,1999,Delta,0,2
White Noise (Contemporary American Fiction),Don DeLillo,1991,Penguin Books,9,2
Speak,Laurie Halse Anderson,2001,Speak,9,2
Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,1995,Bantam,6,2
Dandelion Wine (Grand Master Editions),RAY BRADBURY,1985,Bantam,9,2
Slaughterhouse Five or the Children's Crusade: A Duty Dance With Death,Kurt Vonnegut,1991,Laurel,0,2
Idoru,William Gibson,1997,Berkley Publishing Group,0,1
"Bless Me, Ultima",Rudolfo Anaya,1994,Warner Books,8,2
Nine Stories,J.D. Salinger,1991,"Little, Brown",7,2
SKINNY LEGS AND ALL,TOM ROBBINS,1991,Bantam,10,2
SHAMPOO PLANET : SHAMPOO PLANET,Douglas Coupland,1993,Washington Square Press,8,2
Dune,Frank Herbert,1984,Berkley Publishing Group,10,1
Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books,0,4
Dark Paradise,TAMI HOAG,1994,Bantam,0,2
The Idiot Girls' Action Adventure Club,Laurie Notaro,2002,Villard Books,8,2
Dance Hall of the Dead (Joe Leaphorn Novels),Tony Hillerman,1990,HarperTorch,0,2
The Bone Collector (Lincoln Rhyme Novels (Paperback)),Jeff Deaver,2004,Signet Book,0,3
Pandora's Clock,John J. Nance,1996,St. Martin's Press,0,2
Hard Time (V.I. Warshawski Novels (Paperback)),SARA PARETSKY,2000,Dell,0,2
Dr. Death (Alex Delaware Novels (Paperback)),Jonathan Kellerman,2001,Ballantine Books,0,4
Black Friday,James Patterson,1989,Warner Vision,0,2
The Prince of Tides,Pat Conroy,1987,Bantam Books,0,2
Thinner,Stephen King,1985,New Amer Library,0,3
Private Screening,Richard North Patterson,1994,Ballantine Books,0,4
Silent Witness,RICHARD NORTH PATTERSON,1997,Ballantine Books,0,4
Postmortem,Patricia Daniels Cornwell,1993,Harper Mass Market Paperbacks (Mm),8,2
Lord of the Flies,William Gerald Golding,1959,Perigee Trade,0,2
Watchers,Dean R. Koontz,1996,Berkley Publishing Group,9,1
Mortal Fear,Robin Cook,1989,Berkley Publishing Group,0,1
Rules of Prey,John Sandford,1992,Berkley Publishing Group,9,1
Harmful Intent,Robin Cook,2001,Berkley Publishing Group,0,1
Vital Signs,Robin Cook,2001,Berkley Publishing Group,8,1
